type,multipolygon
type,restriction
type,route
type,boundary
boundary,administrative
building,yes
natural,wood
natural,water
type,associatedStreet
restriction,no_u_turn
natural,wetland
landuse,farmland
restriction,no_left_turn
restriction,only_straight_on
landuse,meadow
admin_level,8
landuse,forest
type,public_transport
public_transport,stop_area
admin_level,10
route,bus
type,site
route,road
landuse,residential
wetland,bog
source,NRCan-CanVec-10.0
natural,scrub
restriction,no_right_turn
route,hiking
source,lpis
landuse,grass
source,RABA-KGZ
site,geodesic
source,©IGN 2010 dans le cadre de la cartographie réglementaire
network,lwn
place,locality
route,bicycle
locality,townland
admin_level,9
natural,grassland
restriction,only_right_turn
source,3dShapes
meadow,agricultural
type,destination_sign
site,stop_area
network,rwn
waterway,riverbank
source,naptan_import
type,route_master
network,NTF-4
network,rcn
place,hamlet
type,waterway
route_master,bus
building,apartments
source,NRCan-CanVec-7.0
admin_level,6
route,foot
area,yes
amenity,parking
source,NRCan-CanVec-8.0
building,house
leaf_type,broadleaved
landuse,orchard
source,Bing
landuse,industrial
landuse,logging
source,bing
place,village
water,lake
network,lcn
type,building
landuse,allotments
leisure,park
type,street
source,TIGER/Line® 2008 Place Shapefiles (http://www.census.gov/geo/www/tiger/)
bus,yes
landuse,farmyard
network,ru:regional
leisure,nature_reserve
building,school
source,cuzk:ruian
highway,pedestrian
restriction,only_left_turn
leisure,track
admin_level,7
roundtrip,yes
building,residential
waterway,stream
natural,bare_rock
natural,heath
boundary,protected_area
amenity,school
leaf_cycle,deciduous
type,turnlanes:turns
wetland,marsh
type,enforcement
source,CanVec 6.0 - NRCan
residential,rural
leaf_type,mixed
waterway,river
boundary,postal_code
natural,beach
water,river
route,power
network,NTF-5
enforcement,maxspeed
parking,surface
attribution,http://wiki.osm.org/wiki/Attribution#LINZ
source_ref,http://www.linz.govt.nz/topography/topo-maps/
network,VRR
source,IBGE
restriction,no_straight_on
wheelchair,yes
leaf_type,needleleaved
cables,3
water,pond
source,Kartverket N50
official_status,ru:сельское поселение
source,BAG
place,island
frequency,50
religion,christian
border_type,city
natural,scree
source,Ajuntament de Girona
landuse,vineyard
wetland,swamp
